,siteID,setDate,collectDate,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,labConditionRemarks,sampleMass,NEONsite
0,BART,2020-12-22T17:10Z,2021-01-06T16:09Z,0.023,,0.006,0.042,,0.002,0.015,,0.002,0.342,,0.002,0.038,,0.018,0.204,,0.005,0.167,,0.005,0.001,Below detection limit,0.006,0.661,,0.003,0.002,Below detection limit,0.004,5.31,0.1,5,0.4,,,1080.89,BART
1,BART,2021-01-06T16:23Z,2021-01-20T16:00Z,0.015,,0.006,0.004,,0.002,0.005,,0.002,0.06,,0.002,0.022,,0.018,0.121,,0.005,0.058,,0.005,0.005,Below detection limit,0.006,0.098,,0.003,0,Below detection limit,0.004,5.41,0.1,2.4,0.4,,,333.55,BART
0,BART,2021-01-20T16:00Z,2021-02-04T16:05Z,0.022,,0.006,0.004,,0.002,0.013,,0.002,0.093,,0.002,0.058,,0.018,0.464,,0.005,0.103,,0.005,0.001,Below detection limit,0.006,0.113,,0.003,0,Below detection limit,0.004,5.24,0.1,4.6,0.4,,,176.74,BART
1,BART,2021-02-04T16:15Z,2021-02-11T16:19Z,0.058,,0.006,0.014,,0.002,0.017,,0.002,0.151,,0.002,0.129,,0.018,0.763,,0.005,0.171,,0.005,0.004,Below detection limit,0.006,0.237,,0.003,0,Below detection limit,0.004,5.09,0.1,6,0.4,,,106.17,BART
0,BART,2021-02-11T16:19Z,2021-03-04T17:00Z,0.034,,0.006,0.005,,0.002,0.011,,0.002,0.04,,0.002,0.055,,0.018,0.317,,0.005,0.146,,0.005,0.005,Below detection limit,0.006,0.069,,0.003,0,Below detection limit,0.004,5.19,0.1,3.9,0.4,,,596.58,BART
1,BART,2021-03-04T17:00Z,2021-03-18T15:46Z,0.73,,0.006,0.071,,0.002,0.046,,0.002,0.478,,0.002,1.551,,0.018,3.002,,0.005,1.487,,0.005,0.013,,0.006,0.652,,0.003,0.006,,0.004,6.57,0.1,18.7,0.4,,small sample 13.7 mls Sample not filtered,13.79,BART
2,BART,2021-03-18T15:46Z,2021-03-25T14:55Z,0.204,,0.006,0.045,,0.002,0.012,,0.002,0.234,,0.002,0.247,,0.018,0.833,,0.005,0.421,,0.005,0.013,,0.006,0.417,,0.003,0.004,,0.004,5.3,0.1,7.8,0.4,,Small sample 18.46 mls. Sample not filtered,18.46,BART
0,BART,2021-03-25T14:55Z,2021-04-15T15:22Z,0.061,,0.006,0.013,,0.002,0.012,,0.002,0.072,,0.002,0.08,,0.018,0.384,,0.005,0.216,,0.005,0.002,Below detection limit,0.006,0.121,,0.003,0,Below detection limit,0.004,5.27,0.1,4.1,0.4,,,713.49,BART
1,BART,2021-04-15T15:22Z,2021-04-27T14:18Z,0.08,,0.006,0.017,,0.002,0.017,,0.002,0.059,,0.002,0.351,,0.018,0.551,,0.005,0.419,,0.005,0.001,Below detection limit,0.006,0.098,,0.003,0.001,Below detection limit,0.004,5.88,0.1,4.7,0.4,,,546.52,BART
0,BART,2021-04-27T14:18Z,2021-05-14T17:51Z,0.06,,0.006,0.008,,0.002,0.017,,0.002,0.011,,0.002,0.185,,0.018,0.354,,0.005,0.18,,0.005,0.001,Below detection limit,0.006,0.02,,0.003,0,Below detection limit,0.004,5.79,0.1,5.3,0.4,,,595.05,BART
1,BART,2021-05-14T17:51Z,2021-05-25T14:38Z,0.529,,0.006,0.123,,0.002,0.487,,0.002,0.215,,0.002,0.07,,0.018,1.507,,0.005,0.737,,0.005,0.075,,0.006,0.164,,0.003,0.002,Below detection limit,0.004,,,,,,Small sample 13 mls,13.1,BART
0,BART,2021-05-25T14:37Z,2021-06-03T14:31Z,0.04,,0.006,0.007,,0.002,0.007,,0.002,0.022,,0.002,0.044,,0.018,0.295,,0.005,0.122,,0.005,0.001,Below detection limit,0.006,0.037,,0.003,0,Below detection limit,0.004,5.32,0.1,3.2,0.4,,,265.62,BART
1,BART,2021-06-03T14:31Z,2021-06-21T14:00Z,0.235,Debris observed in sample,0.006,0.043,Debris observed in sample,0.002,0.026,Debris observed in sample,0.002,0.024,Debris observed in sample,0.002,0.839,Debris observed in sample,0.018,1.387,Debris observed in sample,0.005,0.594,Debris observed in sample,0.005,-0.002,Below detection limit|Debris in sample,0.006,0.06,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,6.41,0.1,8.4,0.4,,pollen in sample,141.36,BART
0,BART,2021-06-21T14:00Z,2021-07-01T15:10Z,0.187,Debris observed in sample,0.006,0.038,Debris observed in sample,0.002,0.01,Debris observed in sample,0.002,0.06,Debris observed in sample,0.002,0.062,Debris observed in sample,0.018,1.514,Debris observed in sample,0.005,0.32,Debris observed in sample,0.005,-0.001,Below detection limit|Debris in sample,0.006,0.085,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,4.77,0.1,9.9,0.4,,Very small black spec present.,55.07,BART
1,BART,2021-07-01T15:15Z,2021-07-21T15:00Z,0.031,Debris observed in sample,0.006,0.003,Debris observed in sample,0.002,0.007,Debris observed in sample,0.002,0.01,Debris observed in sample,0.002,0.044,Debris observed in sample,0.018,0.337,Debris observed in sample,0.005,0.101,Debris observed in sample,0.005,-0.005,Below detection limit|Debris in sample,0.006,0.024,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.16,0.1,3.7,0.4,,Black specs present.,1787.2,BART
0,BART,2021-07-21T15:00Z,2021-08-03T14:33Z,0.031,Debris observed in sample,0.006,0.004,Debris observed in sample,0.002,0.009,Debris observed in sample,0.002,0.015,Debris observed in sample,0.002,0.066,Debris observed in sample,0.018,0.341,Debris observed in sample,0.005,0.167,Debris observed in sample,0.005,0.002,Below detection limit|Debris in sample,0.006,0.022,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.11,0.1,4.7,0.4,,small bug,452.7,BART
1,BART,2021-08-03T14:33Z,2021-08-18T18:47Z,0.07,Debris observed in sample,0.006,0.01,Debris observed in sample,0.002,0.025,Debris observed in sample,0.002,0.031,Debris observed in sample,0.002,0.278,Debris observed in sample,0.018,0.659,Debris observed in sample,0.005,0.399,Debris observed in sample,0.005,0.002,Below detection limit|Debris in sample,0.006,0.028,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.24,0.1,5.7,0.4,,Pollen in sample,313.5,BART
