site,date,timeEST,NO3,DOC
RG22,1/5/2009,8:00,1.2,
RG22,1/12/2009,8:20,0.62,
RG22,1/19/2009,8:20,1.89,
RG22,2/2/2009,7:30,0.47,
RG22,2/16/2009,7:45,2.2,
RG22,2/24/2009,7:30,1.48,
RG22,3/9/2009,8:20,1.84,
RG22,3/10/2009,7:00,1.21,
RG22,3/16/2009,7:35,1.19,
RG22,3/31/2009,7:30,1.12,
RG22,4/6/2009,6:45,1.67,
RG22,4/13/2009,6:20,0.65,
RG22,4/24/2009,12:15,1.01,
RG22,4/27/2009,6:15,1.54,
RG22,5/4/2009,6:55,1.38,
RG22,5/11/2009,7:50,0.01,
RG22,5/18/2009,6:30,0.75,
RG22,6/1/2009,7:30,0.01,
RG22,6/16/2009,9:40,0.37,
RG22,6/22/2009,6:50,0.17,
RG22,6/30/2009,7:40,0.01,
RG22,7/6/2009,7:35,0.01,
RG22,7/13/2009,7:50,0.79,
RG22,7/20/2009,7:30,1.61,
RG22,7/28/2009,7:00,0.36,
RG22,8/3/2009,7:40,0.58,
RG22,8/10/2009,8:00,5.51,
RG22,8/17/2009,7:50,0.48,
RG22,8/24/2009,7:40,0.9,
RG22,8/31/2009,8:00,0.26,
RG22,9/14/2009,6:15,0.01,
RG22,9/21/2009,6:25,,
RG22,9/28/2009,6:30,0.3,
RG22,10/5/2009,6:30,1.32,
RG22,10/12/2009,14:40,0.9,
RG22,10/19/2009,6:30,0.84,
RG22,10/26/2009,6:30,0.46,
RG22,11/2/2009,8:00,0.66,
RG22,11/16/2009,7:55,0.08,
RG22,11/23/2009,7:40,0.3,
RG22,12/1/2009,7:50,0.38,
RG22,12/7/2009,7:50,0.4,
RG22,12/14/2009,7:50,0.05,
RG22,12/21/2009,8:15,4.14,
RG22,12/28/2009,8:10,0.01,
RG22,1/4/2010,8:40,1.93,
RG22,1/18/2010,10:00,0.01,
RG22,1/26/2010,8:30,0.44,
RG22,2/1/2010,8:35,2.28,
RG22,3/2/2010,8:00,0.27,
RG22,3/16/2010,6:45,0.12,
RG22,3/31/2010,9:15,0.45,
RG22,4/12/2010,7:30,2.14,
RG22,4/20/2010,8:00,1.22,
RG22,5/4/2010,6:50,1.23,
RG22,5/10/2010,7:55,1.05,
RG22,6/7/2010,6:50,0.6,
RG22,6/21/2010,9:05,1.58,
RG22,6/29/2010,7:40,0.78,
RG22,7/5/2010,7:55,,
RG22,7/12/2010,8:15,0.18,
RG22,7/20/2010,7:00,1.15,
RG22,7/26/2010,8:00,0.58,
RG22,8/2/2010,7:35,0.47,
RG22,8/8/2010,9:00,1.93,
RG22,8/17/2010,7:00,0.78,
RG22,8/24/2010,6:40,2.28,
RG22,8/30/2010,8:00,0.01,
RG22,9/6/2010,7:55,0.35,
RG22,9/14/2010,6:15,1.71,
RG22,9/20/2010,6:40,0.66,
RG22,9/27/2010,6:40,5.25,
RG22,10/4/2010,6:40,0.11,
