DateTime,Precip_mm,NO3mgNL,DOCmgCL
11/18/2003 13:00,2.7,0.588,
11/25/2003 11:00,8.5,0.146,0.993
12/2/2003 13:50,13.6,0.294,0.739
12/9/2003 12:45,24.8,0.052,0.385
12/16/2003 11:15,77.1,0.045,0.308
12/23/2003 11:00,11.2,0.098,0.357
12/30/2003 12:45,12.8,0.093,0.394
1/6/2004 10:30,11.11,0.445,1.226
1/13/2004 11:15,3,0.527,0.956
2/10/2004 9:45,29.9,0.067,0.73
2/24/2004 9:00,4.5,0.956,1.688
3/9/2004 8:15,8.2,0.524,1.151
3/16/2004 10:00,1.4,,3.19
3/23/2004 8:30,24.7,0.563,0.621
3/30/2004 8:45,11.5,0.777,1.387
4/6/2004 9:00,125.2,0.045,0.507
4/13/2004 9:15,4.9,0.149,0.786
4/20/2004 14:45,38.1,0.117,0.431
4/27/2004 9:00,48.7,0.305,0.709
5/4/2004 9:30,25.5,0.156,0.518
5/18/2004 10:30,29.2,0.294,1.436
6/1/2004 10:30,31.3,0.456,0.565
6/4/2004 16:30,9.4,0.268,1.182
6/15/2004 9:45,10.4,0.336,1.402
6/22/2004 9:45,6.9,0.453,1.585
6/29/2004 9:00,11.2,0.309,1.298
7/2/2004 9:00,2.7,0.878,4.6
7/6/2004 10:00,0.7,,3.139
7/9/2004 8:30,18.6,0.0025,1.231
7/15/2004 7:30,12.9,0.106,3.045
7/19/2004 16:15,9,0.257,0.992
7/20/2004 9:45,0.9,,4.553
7/24/2004 13:30,9.9,0.274,1.436
7/29/2004 8:00,27.5,0.055,0.383
8/2/2004 15:30,3.4,0.182,1.192
8/6/2004 9:00,2.2,0.113,2.137
8/13/2004 11:00,69.2,0.024,0.181
8/12/2004 17:00,25.7,0.332,1.601
8/16/2004 9:00,11.6,0.028,0.528
8/17/2004 11:45,8.4,0.193,1.47
8/23/2004 10:00,35.3,0.379,1.706
8/31/2004 10:30,5.4,0.245,0.05
9/9/2004 12:15,63.4,0.086,0.307
5/25/2004 9:45,67.8,0.413,
9/14/2004 9:45,1,0.4,1.801
9/21/2004 9:15,54.2,0.096,0.644
9/29/2004 7:45,13.2,0.491,0.593
10/5/2004 9:45,14,0.355,1.097
10/16/2004 9:15,38.9,0.115,0.503
11/1/2004 14:15,11.6,0.488,1.249
11/3/2004 15:30,8.8,1.046,1.348
11/5/2004 8:15,20.5,0.0025,0.302
11/30/2004 10:30,64,0.1,0.637
12/2/2004 8:00,27.2,0.071,0.313
12/14/2004 11:00,44.1,0.097,0.505
12/21/2004 9:15,8.2,1.585,1.341
12/28/2004 9:30,37.4,0.051,0.164
1/4/2005 10:15,12.9,0.234,0.322
1/9/2005 12:00,13.8,0.141,0.584
1/13/2005 8:15,9.8,0.134,0.249
1/18/2005 8:15,24.2,0.05,0.263
1/20/2005 8:30,3.9,0.657,0.284
1/23/2005 14:30,19.8,0.137,3.621
1/28/2005 8:00,7.4,0.93,1.307
2/4/2005 8:30,9.9,0.059,0.711
2/11/2005 10:30,35,0.31,1.528
2/15/2005 10:15,18.5,0.066,0.303
2/22/2005 8:00,24.6,0.229,0.764
2/25/2005 8:15,6.2,0.657,0.602
3/2/2005 8:00,12.2,0.112,0.553
